,address,total_protocol_count,total_protocol_type,total_methods,total_tx_count,method_diversity,avg_tx_usd_value_inflow,avg_tx_usd_value_outflow,total_tx_usd_value_inflow,total_tx_usd_value_outflow,active_days,active_days_ratio,tx_avg_burst,bridge_ratio,dex_ratio,lending_ratio,stablecoin_ratio,unknown_ratio,bridge_focus,dex_focus,lending_focus,stablecoin_focus,most_used_bridge,most_used_dex,most_used_lending,most_used_stablecoin,most_active_weekday,most_active_1h_interval,most_active_4h_interval,most_active_chain,n_chains_used,chain_focus,chain_entropy,chain_1_ratio,chain_8453_ratio,chain_42161_ratio,first_timestamp_dt,last_timestamp_dt,lifetime_days,txs_per_day,txs_per_week,txs_per_month,total_protocol_count_norm,total_protocol_type_norm,total_methods_norm,total_tx_count_norm,txs_per_week_norm,active_score
0,0x00648a1370d98b6f45f4ed19dcc68bf36941a62c,7,6,2,18,0.87,56.86,84.5,113.73,2366.06,3,0.0,6.0,0.05,0.0,0.27,0.38,0.27,1.0,0.0,1.0,0.51,STARGATE_V2_BRIDGE_USDC_1,unknown,COMPOUND_V3_USDT_1,USDT_1,Friday,0,0,1,2,0.72,0.65,0.83,0.0,0.17,2024-10-07 17:58:47,2025-07-22 02:12:05,288,0.06,0.44,1.88,0.59,0.61,0.58,0.12,0.05,32.8
1,0x0acefa6b0313b012ffb7fb833398005e384485e2,4,4,1,100,0.78,10038.43,4159.63,220845.5,324451.39,13,0.02,7.69,0.0,0.07,0.22,0.15,0.56,0.0,1.0,1.0,1.0,unknown,1INCH_V5_1,COMPOUND_V3_USDC_1,USDC_1,Saturday,5,4,1,1,1.0,0.0,1.0,0.0,0.0,2025-07-10 01:30:11,2025-07-22 06:12:47,13,7.69,53.85,100.0,0.19,0.37,0.0,0.67,0.86,52.2
2,0x13923f2fed93b8f9dce0c7b2fd12831d457a10a6,9,5,2,20,0.96,22.86,0.36,45.72,3.6,4,0.01,5.0,0.0,0.1,0.2,0.35,0.35,0.0,0.5,0.38,0.51,unknown,1INCH_V5_1,COMPOUND_V3_USDT_1,USDT_1,Saturday,15,12,1,2,0.58,0.88,0.7,0.3,0.0,2025-05-30 13:40:37,2025-07-20 11:49:47,51,0.39,2.75,11.76,0.78,0.5,0.58,0.16,0.26,40.6
3,0x146c624b5cefb6488bfe1a9919e74fc2558243e3,12,7,2,149,0.71,17.16,0.52,68.63,49.41,15,0.02,9.93,0.0,0.0,0.28,0.36,0.33,1.0,0.0,0.79,0.55,ACROSS_BRIDGE_1,unknown,COMPOUND_V3_USDT_1,USDT_1,Monday,2,0,1,2,0.56,0.91,0.67,0.0,0.33,2025-06-29 16:33:30,2025-07-21 17:48:23,23,6.48,45.35,149.0,1.0,0.71,0.58,0.79,0.83,64.1
4,0x154419d9a2c57fb60e80cc83fb2180e7e33637e0,5,4,1,65,0.82,379.08,0.74,379.08,47.41,20,0.03,3.25,0.0,0.06,0.16,0.7,0.06,0.0,1.0,0.7,1.0,unknown,UNISWAP_V4_ROUTER_1,MORPHO_GAUNTLET_USDC_CORE_1,USDC_1,Friday,16,12,1,1,1.0,0.0,1.0,0.0,0.0,2025-05-26 13:29:11,2025-07-18 11:10:59,53,1.23,8.58,36.79,0.34,0.37,0.0,0.53,0.47,44.1
5,0x1e2ac461edc05bdc7b471cf93aeceec91f32ed29,4,2,1,100,0.68,0.0,0.0,0.0,0.0,9,0.01,11.11,0.0,0.0,0.56,0.44,0.0,0.0,0.0,0.84,0.6,unknown,unknown,AAVE_V3_POOL_1,USDC_1,Sunday,18,16,1,1,1.0,0.0,1.0,0.0,0.0,2025-07-11 18:26:59,2025-07-21 15:01:35,10,10.0,70.0,100.0,0.19,0.0,0.0,0.67,0.92,47.5
6,0x31eadec696fe6657f795229691c491609c8b49a2,3,3,1,31,0.72,19.66,0.0,39.32,0.0,17,0.02,1.82,0.0,0.0,0.7,0.19,0.09,0.0,0.0,1.0,1.0,unknown,unknown,COMPOUND_V3_USDT_1,USDT_1,Monday,3,16,1,1,1.0,0.0,1.0,0.0,0.0,2025-05-14 23:30:47,2025-07-21 03:51:23,68,0.46,3.19,13.68,0.0,0.21,0.0,0.29,0.29,28.5
7,0x37fd3c367c5d03640b177fcbd7afe18d805dd10e,4,4,2,200,0.7,7060.12,581.21,56480.91,111591.74,36,0.05,5.56,0.0,0.0,0.16,0.19,0.64,0.0,0.0,1.0,1.0,unknown,unknown,COMPOUND_V3_USDC_1,USDC_1,Tuesday,7,8,1,2,0.5,1.0,0.5,0.0,0.5,2023-02-07 21:19:26,2025-07-22 08:22:11,896,0.22,1.56,6.7,0.19,0.37,0.58,0.89,0.18,42.0
8,0x3d10ed16c911cd22d100cbc00165c918a2df66bc,4,4,1,100,0.7,0.01,117049.44,0.12,10183300.97,24,0.03,4.17,0.0,0.21,0.15,0.01,0.63,0.0,1.0,1.0,1.0,unknown,UNISWAP_V4_ROUTER_1,COMPOUND_V3_USDT_1,WETH_1,Wednesday,17,16,1,1,1.0,0.0,1.0,0.0,0.0,2025-05-11 20:31:35,2025-07-20 11:21:59,70,1.43,10.0,42.86,0.19,0.37,0.0,0.67,0.5,43.6
9,0x40beca748d42d122ff92d7daf87f1caae0532b69,9,7,2,32,0.73,10992.48,5307.28,115037.37,150633.78,9,0.01,3.56,0.18,0.06,0.06,0.15,0.53,0.72,1.0,0.5,0.68,MAYAN_BRIDGE_1,UNISWAP_V4_ROUTER_1,COMPOUND_V3_USDT_1,USDC_42161,Monday,9,8,1,2,0.66,0.76,0.78,0.0,0.22,2025-01-17 09:24:59,2025-07-21 09:45:59,186,0.17,1.2,5.16,0.78,0.71,0.58,0.3,0.14,38.5
10,0x42e6300d8d5c1531996b8d567528147761c76d39,4,3,1,100,0.83,0.0,10454.55,0.0,1045455.4,3,0.0,33.33,0.0,0.01,0.37,0.0,0.62,0.0,1.0,0.56,0.0,unknown,KYBERSWAP_V2_1,COMPOUND_V3_USDC_1,unknown,Tuesday,16,16,1,1,1.0,0.0,1.0,0.0,0.0,2025-07-20 16:10:35,2025-07-22 04:40:11,2,50.0,100.0,100.0,0.19,0.21,0.0,0.67,1.0,54.0
11,0x4dac5d1f8ffbdc32d1f9c133327dc611ae7871b9,3,3,1,100,0.78,127.31,0.96,127.31,94.77,56,0.08,1.79,0.0,0.0,0.63,0.35,0.02,0.0,0.0,1.0,1.0,unknown,unknown,COMPOUND_V3_USDT_1,USDT_1,Wednesday,23,16,1,1,1.0,0.0,1.0,0.0,0.0,2024-08-05 22:29:35,2025-07-21 20:45:11,350,0.29,2.0,8.57,0.0,0.21,0.0,0.67,0.21,36.9
12,0x52a3cdf2ef6b17e6ffdaceb38ef30a8c42e6a366,5,5,2,136,0.55,90.03,208.68,180.06,41319.61,45,0.06,3.02,0.0,0.0,0.21,0.15,0.63,0.0,0.0,1.0,1.0,unknown,unknown,COMPOUND_V3_USDC_1,USDC_1,Thursday,21,16,1,2,0.61,0.83,0.74,0.0,0.26,2025-03-19 18:22:35,2025-07-21 19:58:35,125,1.09,7.62,32.64,0.34,0.5,0.58,0.76,0.45,44.8
13,0x530745ea1c8ed573cd465f88bf62beb18d5c7668,5,3,1,100,0.62,0.0,0.0,0.0,0.0,39,0.05,2.56,0.0,0.0,0.57,0.3,0.12,0.0,0.0,0.65,0.61,unknown,unknown,COMPOUND_V3_USDT_1,USDT_1,Monday,8,8,1,1,1.0,0.0,1.0,0.0,0.0,2025-02-07 14:17:35,2025-07-20 05:15:35,163,0.61,4.29,18.4,0.34,0.21,0.0,0.67,0.34,39.1
14,0x5e0ef3ff9c681a42319ca2d33ba3f3eb4d79cf15,9,5,2,101,0.8,0.0,211.9,0.0,42381.03,23,0.03,4.39,0.0,0.0,0.37,0.25,0.35,1.0,0.0,0.48,0.46,SYNAPSE_BRIDGE_1,unknown,AAVE_V3_POOL_1,USDT_1,Friday,8,8,1,2,0.98,0.08,0.99,0.01,0.0,2024-07-24 11:07:51,2025-07-20 08:38:11,361,0.28,1.96,8.39,0.78,0.5,0.58,0.67,0.21,47.0
15,0x602f2e120a9956f2ad1ce47ced286fcefbba9f8c,3,3,1,78,0.93,720.0,49949.23,43919.71,849136.96,51,0.07,1.53,0.0,0.0,0.01,0.01,0.97,0.0,0.0,1.0,1.0,unknown,unknown,COMPOUND_V3_USDC_1,USDC_1,Monday,22,20,1,1,1.0,0.0,1.0,0.0,0.0,2023-04-03 20:14:23,2025-07-21 23:41:11,841,0.09,0.65,2.78,0.0,0.21,0.0,0.59,0.08,35.5
16,0x764897268325efc9bfab5368a54ab1b45151230f,12,11,3,282,0.88,437.52,211.13,21506.23,52077.54,98,0.13,2.88,0.01,0.0,0.01,0.08,0.87,0.62,1.0,0.56,0.64,OWLTO_BRIDGE_42161,UNISWAP_V4_ROUTER_1,AAVE_V3_POOL_8453,USDC_1,Thursday,13,12,8453,3,0.34,1.0,0.29,0.35,0.35,2023-04-03 11:16:23,2025-07-21 12:46:26,841,0.34,2.35,10.06,1.0,1.0,1.0,1.0,0.24,65.0
17,0x77b537363aab683cfda7f8933b1e6af8aa436614,6,3,1,30,0.88,189.54,0.0,189.54,0.0,10,0.01,3.0,0.0,0.0,0.3,0.66,0.03,0.0,0.0,0.51,0.51,unknown,unknown,AAVE_V3_POOL_1,USDT_1,Tuesday,10,8,1,1,1.0,0.0,1.0,0.0,0.0,2025-02-18 10:28:35,2025-07-20 15:50:59,153,0.2,1.37,5.88,0.47,0.21,0.0,0.28,0.16,33.4
18,0x780f32fe419d276786a7ffe1fbb0d0cdb1865ccc,12,10,3,175,0.91,36075.68,4277.18,216454.11,659365.77,35,0.05,5.0,0.02,0.01,0.22,0.26,0.46,1.0,1.0,0.52,0.53,STARGATE_V2_BRIDGE_USDC_1,KYBERSWAP_V2_1,COMPOUND_V3_USDT_1,USDC_1,Monday,16,16,1,3,0.42,0.89,0.57,0.23,0.19,2024-04-08 17:06:15,2025-07-22 02:41:59,470,0.37,2.61,11.17,1.0,0.94,1.0,0.85,0.25,60.6
19,0x79473c5a7f8b214dd5509073490527aa5e535d0a,5,3,1,32,0.87,13.9,163.18,41.7,4732.19,13,0.02,2.46,0.0,0.0,0.21,0.43,0.34,0.0,0.0,0.59,0.87,unknown,unknown,COMPOUND_V3_USDC_1,USDC_1,Monday,18,16,1,1,1.0,0.0,1.0,0.0,0.0,2024-01-28 10:26:47,2025-07-22 07:51:47,541,0.06,0.41,1.77,0.34,0.21,0.0,0.3,0.04,30.1
20,0x79720266dec914247424aeb0f06b8fa5b3ec073e,11,9,3,268,0.86,44208.01,6752.73,265248.06,1540280.96,35,0.05,7.66,0.0,0.0,0.1,0.1,0.78,0.0,0.0,0.49,0.76,unknown,unknown,MORPHO_STEAKHOUSE_USDC_1,USDC_42161,Monday,19,16,1,3,0.34,0.98,0.37,0.25,0.37,2025-05-25 22:41:13,2025-07-22 08:22:59,58,4.62,32.34,138.62,0.93,0.87,1.0,0.98,0.75,70.8
21,0x7aa50cb10a59dc1d5be57b3a4010d253811d0ea2,4,4,1,100,0.76,44.2,34.81,132.59,3445.91,30,0.04,3.33,0.0,0.03,0.18,0.06,0.73,0.0,1.0,1.0,1.0,unknown,UNISWAP_V4_ROUTER_1,COMPOUND_V3_USDC_1,USDC_1,Friday,19,20,1,1,1.0,0.0,1.0,0.0,0.0,2024-12-11 05:03:59,2025-07-22 05:41:35,224,0.45,3.12,13.39,0.19,0.37,0.0,0.67,0.28,40.6
22,0x8b69fa880f2e88438ff9317c09c1b4dbc0f1c804,5,3,1,20,0.98,107.08,0.72,107.08,13.74,6,0.01,3.33,0.0,0.0,0.3,0.55,0.15,0.0,0.0,0.56,0.5,unknown,unknown,COMPOUND_V3_USDC_1,USDC_1,Monday,1,0,1,1,1.0,0.0,1.0,0.0,0.0,2023-03-10 20:32:47,2025-07-21 19:59:47,864,0.02,0.16,0.69,0.34,0.21,0.0,0.16,0.0,28.5
23,0x8c6e26476b77193c9353a633febb80f0441c1b03,6,6,2,130,0.71,4.93,4.86,118.35,460.05,22,0.03,5.91,0.0,0.3,0.02,0.03,0.63,0.0,1.0,1.0,1.0,unknown,UNISWAP_V2_ROUTER_1,MORPHO_USUAL_BOOSTED_USDC_1,USDC_1,Friday,13,12,1,2,0.64,0.78,0.77,0.23,0.0,2025-06-07 16:23:55,2025-07-22 08:23:11,45,2.89,20.22,86.67,0.47,0.61,0.58,0.75,0.65,53.6
24,0x95008ace75ddaef287002cb840c1cc0d133e7418,3,3,1,12,0.63,0.0,0.0,0.0,0.0,2,0.0,6.0,0.0,0.0,0.25,0.16,0.58,0.0,0.0,1.0,1.0,unknown,unknown,COMPOUND_V3_USDC_1,USDC_1,Monday,23,20,1,1,1.0,0.0,1.0,0.0,0.0,2025-07-19 09:38:35,2025-07-21 23:23:35,3,4.0,12.0,12.0,0.0,0.21,0.0,0.0,0.54,25.5
25,0xcb4a7b790edb7fa3e2731efd7ed85275f92fc74a,6,5,2,105,0.82,56.86,0.48,113.73,3.79,8,0.01,13.12,0.0,0.0,0.13,0.05,0.8,0.0,0.0,0.54,1.0,unknown,unknown,AAVE_V3_POOL_1,USDC_1,Tuesday,5,4,1,2,0.91,0.28,0.95,0.0,0.05,2024-12-13 23:16:04,2025-07-22 06:15:11,221,0.48,3.33,14.25,0.47,0.5,0.58,0.68,0.29,45.7
26,0xd413dcf1b80e10a8ba7cab329da7545ccc827319,5,4,2,101,0.68,0.0,3.92,0.0,783.56,16,0.02,6.31,0.0,0.0,0.34,0.13,0.51,0.0,0.0,1.0,0.59,unknown,unknown,COMPOUND_V3_USDC_1,USDC_1,Friday,5,4,1,2,0.98,0.08,0.99,0.01,0.0,2024-08-01 10:34:59,2025-07-21 19:15:11,355,0.28,1.99,8.54,0.34,0.37,0.58,0.67,0.21,38.7
27,0xe73bea5d3926100512a2bbb41a55f34967c27d91,7,5,2,41,0.77,6784.56,1898.24,54180.75,129000.42,16,0.02,2.56,0.0,0.17,0.21,0.14,0.46,0.0,1.0,0.8,0.72,unknown,UNISWAP_V4_ROUTER_1,AAVE_V3_POOL_1,USDT_1,Thursday,4,4,1,2,0.86,0.38,0.93,0.0,0.07,2024-12-04 04:34:59,2025-07-22 07:33:59,231,0.18,1.24,5.32,0.59,0.5,0.58,0.38,0.15,37.3
28,0xe75b05cf7f73c2808c711d38488cc8e0186d259e,6,3,1,100,0.73,4052.1,6138.7,81042.06,491096.3,40,0.05,2.5,0.0,0.0,0.1,0.16,0.74,0.0,0.0,0.68,0.47,unknown,unknown,COMPOUND_V3_USDT_1,USDC_1,Monday,1,0,1,1,1.0,0.0,1.0,0.0,0.0,2024-03-10 16:37:59,2025-07-22 00:12:35,499,0.2,1.4,6.01,0.47,0.21,0.0,0.67,0.16,39.0
29,0xf81473bebfe1ce6696441984dcd0292f8f1091a1,4,4,1,47,0.72,151.74,0.0,151.74,0.0,12,0.02,3.92,0.0,0.04,0.55,0.08,0.31,0.0,1.0,1.0,1.0,unknown,PARASWAP_V5_1,COMPOUND_V3_USDC_1,USDC_1,Thursday,15,12,1,1,1.0,0.0,1.0,0.0,0.0,2025-04-02 14:42:47,2025-07-21 20:15:11,111,0.42,2.96,12.7,0.19,0.37,0.0,0.42,0.27,34.2
